"booktitle","bookhref","brief"
"韩非子","https://so.gushiwen.cn/guwen/book_46653FD803893E4F405ACAB307224041.aspx","《韩非子》是战国末期韩国法家集大成者韩非的著作。这部书现存五十五篇，约十余万言，大部分为韩非自己的作品。《韩非子》一书，重点宣扬了韩非法、术、势相结合的法治理论，达到了先秦法家理论的最高峰，为秦统一六国提供了理论武器，同时，也为以后的封建专制制度提供了理论根据。"
"红楼梦","https://so.gushiwen.cn/guwen/book_46653FD803893E4F3F8B9229F3CD9433.aspx","《红楼梦》，中国古典四大名著之首，清代作家曹雪芹创作的章回体长篇小说，又名《石头记》《金玉缘》。此书分为120回“程本”和80回“脂本”两种版本系统。新版通行本前八十回据脂本汇校，后四十回据程本汇校，署名“曹雪芹著，无名氏续，程伟元、高鹗整理”。"
"笠翁对韵","https://so.gushiwen.cn/guwen/book_46653FD803893E4F450BB76061167D4A.aspx","《笠翁对韵》是从前人们学习写作近体诗、词，用来熟悉对仗、用韵、组织词语的启蒙读物。作者李渔，号笠翁，因此叫《笠翁对韵》。全书分为卷一和卷二。按韵分编，包罗天文、地理、花木、鸟兽、人物、器物等的虚实应对。从单字对到双字对，三字对、五字对、七字对到十一字对，声韵协调，琅琅上口，从中得到语音、词汇、修辞的训练。从单字到多字的层层属对，读起来，如唱歌般。较之其他全用三言、四言句式更见韵味。"
"千字文","https://so.gushiwen.cn/guwen/book_46653FD803893E4FEB4096FD1841ED06.aspx","南朝梁武帝时期（502 —549 年），员外散骑侍郎周兴嗣奉皇命从王羲之书法中选取1000个字，编纂成文，是为《千字文》。文中1000字本来不得有所重复，但周兴嗣在编纂文章时，却重复了一个“洁”字（洁、絜为同义异体字）。因此，《千字文》实际只运用了999字。"
"鬼谷子","https://so.gushiwen.cn/guwen/book_46653FD803893E4F0940F1E23EB202EB.aspx","《鬼谷子》，又名《捭阖策》。据传是由鬼谷先生后学者根据先生言论整理而成。该书侧重于权谋策略及言谈辩论技巧。《鬼谷子》共有十四篇，其中第十三、十四篇已失传。"
"吕氏春秋","https://so.gushiwen.cn/guwen/book_46653FD803893E4F8B249E400F0AA90B.aspx","《吕氏春秋》是在秦国丞相吕不韦的主持下，集合门客们编撰的一部古代类百科全书似的传世巨著。有八览、六论、十二纪，共二十多万言。《吕氏春秋》是战国末年（公元前“239”年前后）秦国丞相吕不韦组织属下门客们集体编撰的杂家（儒、法、道等等）著作，又名《吕览》。此书共分为十二纪、八览、六论，共十二卷，一百六十篇，二十余万字。吕不韦自己认为其中包括了天地万物古往今来的事理，所以号称《吕氏春秋》。"
"商君书","https://so.gushiwen.cn/guwen/book_46653FD803893E4FE8F6FCA5ABE50B95.aspx","《商君书》也称《商子》，现存24篇，战国时商鞅及其后学的著作汇编，是法家学派的代表作之一。"
"论语","https://so.gushiwen.cn/guwen/book_46653FD803893E4F75696240258265D2.aspx","《论语》是儒家学派的经典著作之一，由孔子的弟子及其再传弟子编撰而成。它以语录体和对话文体为主，记录了孔子及其弟子言行，集中体现了孔子的政治主张、伦理思想、道德观念及教育原则等。与《大学》《中庸》《孟子》《诗经》《尚书》《礼记》《易经》《春秋》并称“四书五经”。通行本《论语》共二十篇。"
"礼记","https://so.gushiwen.cn/guwen/book_46653FD803893E4F4229823F35D89DC5.aspx","《礼记》，是中国古代一部重要的典章制度书籍，儒家经典著作之一。该书编定是西汉戴圣对秦汉以前各种礼仪著作加以辑录，编纂而成，共49篇。《礼记》章法谨严，映带生姿，文辞婉转，前后呼应，语言整饬而多变，是“三礼”之一、“五经”之一，“十三经”之一。自东汉郑玄作“注”后，《礼记》地位日升，至唐代时尊为“经”，宋代以后，位居“三礼”之首。"
"易传","https://so.gushiwen.cn/guwen/book_46653FD803893E4F68FD6588DE2463D0.aspx","《易传》是一部战国时期解说和发挥《易经》的论文集，其学说本于孔子，具体成于孔子后学之手。《易传》共7种10篇，它们是《彖传》上下篇、《象传》上下篇、《文言传》、《系辞传》上下角、《说卦传》、《序卦传》和《杂卦传》。自汉代起，它们又被称为“十翼”。"
